Gmt time,Open,High,Low,Close,Volume
28.10.2021 06:28:00.000,1.16004,1.16018,1.16004,1.16018,16.58
28.10.2021 06:29:00.000,1.16016,1.16028,1.16015,1.16026,79.27
28.10.2021 06:30:00.000,1.16027,1.16036,1.1602,1.16035,49.87
28.10.2021 06:31:00.000,1.16035,1.16047,1.16029,1.16042,64.13
28.10.2021 06:32:00.000,1.16041,1.16041,1.1603,1.16041,50.92
28.10.2021 06:33:00.000,1.16042,1.16061,1.16042,1.16055,53.74
28.10.2021 06:34:00.000,1.16054,1.16056,1.1605,1.16056,24.95
28.10.2021 06:35:00.000,1.16054,1.16054,1.16045,1.1605,86.62
28.10.2021 06:36:00.000,1.16049,1.16053,1.16048,1.1605,32.56
28.10.2021 06:37:00.000,1.1605,1.1605,1.1604,1.16048,48.46
28.10.2021 06:38:00.000,1.16049,1.16058,1.16048,1.16055,67.39
28.10.2021 06:39:00.000,1.16055,1.16058,1.16047,1.16056,65.22
28.10.2021 06:40:00.000,1.16057,1.16059,1.16035,1.16051,108.38
28.10.2021 06:41:00.000,1.1605,1.1605,1.16029,1.1603,94
28.10.2021 06:42:00.000,1.16029,1.16029,1.16016,1.1602,37.58
28.10.2021 06:43:00.000,1.16021,1.16029,1.16017,1.16025,52.41
28.10.2021 06:44:00.000,1.16024,1.1603,1.16014,1.16016,69.46
28.10.2021 06:45:00.000,1.16014,1.16023,1.16008,1.1602,90.66
28.10.2021 06:46:00.000,1.1602,1.16027,1.16001,1.16001,116.61
28.10.2021 06:47:00.000,1.16002,1.16012,1.15997,1.16012,59.17
28.10.2021 06:48:00.000,1.16011,1.16011,1.15998,1.15998,28.95
28.10.2021 06:49:00.000,1.16001,1.16017,1.16001,1.16002,63.08
28.10.2021 06:50:00.000,1.16003,1.16007,1.16,1.16005,47.51
28.10.2021 06:51:00.000,1.16005,1.16005,1.15984,1.15992,84.18
28.10.2021 06:52:00.000,1.1599,1.1599,1.15976,1.15978,46.89
28.10.2021 06:53:00.000,1.1598,1.15987,1.1598,1.15985,32.9
28.10.2021 06:54:00.000,1.15984,1.1599,1.15974,1.15977,162.06
28.10.2021 06:55:00.000,1.15978,1.15988,1.15972,1.15974,107.6
28.10.2021 06:56:00.000,1.15973,1.15975,1.15962,1.15972,101.92
28.10.2021 06:57:00.000,1.15973,1.15974,1.15962,1.15963,109.96
28.10.2021 06:58:00.000,1.15964,1.15968,1.15961,1.15963,56.81
28.10.2021 06:59:00.000,1.15964,1.15984,1.15961,1.1598,64.9
28.10.2021 07:00:00.000,1.15979,1.15984,1.15967,1.15973,111.2
28.10.2021 07:01:00.000,1.15973,1.15978,1.15961,1.15962,129.8
28.10.2021 07:02:00.000,1.15963,1.15977,1.15952,1.15977,185.79
28.10.2021 07:03:00.000,1.15976,1.15983,1.15964,1.15983,126.41
28.10.2021 07:04:00.000,1.15986,1.16003,1.15986,1.16,106.23
